Test Case/HU;TC01: loginTest;TC02: spiderLoggedTest;TC03: spiderUnLoggedTest;TC04: studentCourseMainTest;TC05: teacherCourseMainTest;TC06: teacherCreateAndDeleteCourseTest;TC07: teacherEditCourseValues;TC08:teacherDeleteCourseTest;TC09: forumLoadEntriesTest;TC10: forumNewEntryTest;TC11: forumNewCommentTest;TC12: forumNewReply2CommentTest;TC13: courseRestOperations;TC14: courseInfoRestOperations;TC15: sessionRestOperations;TC16: forumRestOperations;TC17: filesRestOperations;TC18: attendersRestOperations;TC19: sessionTest;TC20: oneToOneVideoAudioSessionChrome;TC21: oneToOneChatInSessionChrome
TC01: loginTest;1.0;0.9487179487179487;0.9743589743589743;0.9230769230769231;0.9230769230769231;0.8974358974358975;0.8461538461538461;0.9230769230769231;0.9487179487179487;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8461538461538461;0.8461538461538461;0.8717948717948718;0.8717948717948718;0.8461538461538461;0.5641025641025641;0.7692307692307692
TC02: spiderLoggedTest;0.9487179487179487;1.0;0.9230769230769231;0.9743589743589743;0.9743589743589743;0.9487179487179487;0.8974358974358975;0.9743589743589743;1.0;0.9743589743589743;0.9743589743589743;0.9743589743589743;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.9230769230769231;0.8974358974358975;0.6153846153846154;0.8205128205128205
TC03: spiderUnLoggedTest;0.9743589743589743;0.9230769230769231;1.0;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.8205128205128205;0.8974358974358975;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.8461538461538461;0.8205128205128205;0.8205128205128205;0.8461538461538461;0.8461538461538461;0.8205128205128205;0.5384615384615384;0.7435897435897436
TC04: studentCourseMainTest;0.9230769230769231;0.9743589743589743;0.8974358974358975;1.0;1.0;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9743589743589743;0.9487179487179487;0.9487179487179487;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.5897435897435898;0.7948717948717949
TC05: teacherCourseMainTest;0.9230769230769231;0.9743589743589743;0.8974358974358975;1.0;1.0;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9743589743589743;0.9487179487179487;0.9487179487179487;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.5897435897435898;0.7948717948717949
TC06: teacherCreateAndDeleteCourseTest;0.8974358974358975;0.9487179487179487;0.8717948717948718;0.9230769230769231;0.9230769230769231;1.0;0.9487179487179487;0.9743589743589743;0.9487179487179487;0.9230769230769231;0.9230769230769231;0.9230769230769231;1.0;0.9743589743589743;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.9230769230769231;0.8461538461538461;0.5641025641025641;0.7692307692307692
TC07: teacherEditCourseValues;0.8461538461538461;0.8974358974358975;0.8205128205128205;0.8717948717948718;0.8717948717948718;0.9487179487179487;1.0;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.8717948717948718;0.9487179487179487;0.9743589743589743;0.8461538461538461;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.7948717948717949;0.5128205128205128;0.717948717948718
TC08:teacherDeleteCourseTest;0.9230769230769231;0.9743589743589743;0.8974358974358975;0.9487179487179487;0.9487179487179487;0.9743589743589743;0.9230769230769231;1.0;0.9743589743589743;0.9487179487179487;0.9487179487179487;0.9487179487179487;0.9743589743589743;0.9487179487179487;0.9230769230769231;0.9230769230769231;0.9487179487179487;0.9487179487179487;0.8717948717948718;0.5897435897435898;0.7948717948717949
TC09: forumLoadEntriesTest;0.9487179487179487;1.0;0.9230769230769231;0.9743589743589743;0.9743589743589743;0.9487179487179487;0.8974358974358975;0.9743589743589743;1.0;0.9743589743589743;0.9743589743589743;0.9743589743589743;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.9230769230769231;0.8974358974358975;0.6153846153846154;0.8205128205128205
TC10: forumNewEntryTest;0.9230769230769231;0.9743589743589743;0.8974358974358975;0.9487179487179487;0.9487179487179487;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9743589743589743;1.0;1.0;1.0;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.5897435897435898;0.7948717948717949
